product_name,product_link,product_img,product_price,product_details,product_reviews_number,product_reviews_star_number
Asus VivoBook...,/test-sites/e-commerce/static/product/50,/images/test-sites/e-commerce/items/cart2.png,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews,
Asus ROG STRIX...,/test-sites/e-commerce/static/product/51,/images/test-sites/e-commerce/items/cart2.png,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews,
Acer Nitro 5 A...,/test-sites/e-commerce/static/product/52,/images/test-sites/e-commerce/items/cart2.png,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews,
Asus ROG STRIX...,/test-sites/e-commerce/static/product/53,/images/test-sites/e-commerce/items/cart2.png,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 reviews,
Lenovo ThinkPa...,/test-sites/e-commerce/static/product/54,/images/test-sites/e-commerce/items/cart2.png,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews,
Lenovo Legion...,/test-sites/e-commerce/static/product/55,/images/test-sites/e-commerce/items/cart2.png,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews,
Lenovo Legion...,/test-sites/e-commerce/static/product/56,/images/test-sites/e-commerce/items/cart2.png,$1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",8 reviews,
Asus ROG Strix...,/test-sites/e-commerce/static/product/57,/images/test-sites/e-commerce/items/cart2.png,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 reviews,
Asus ROG Strix...,/test-sites/e-commerce/static/product/58,/images/test-sites/e-commerce/items/cart2.png,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",8 reviews,
Asus ROG Strix...,/test-sites/e-commerce/static/product/59,/images/test-sites/e-commerce/items/cart2.png,$1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",8 reviews,
Asus VivoBook...,/test-sites/e-commerce/static/product/60,/images/test-sites/e-commerce/items/cart2.png,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews,
