Product Name,Product Link,Product Image,Product Price,Product Details,Product Reviews Number
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/69,/images/test-sites/e-commerce/items/cart2.png,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/70,/images/test-sites/e-commerce/items/cart2.png,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",9 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/45,/images/test-sites/e-commerce/items/cart2.png,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/71,/images/test-sites/e-commerce/items/cart2.png,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",3 reviews
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/72,/images/test-sites/e-commerce/items/cart2.png,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",12 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/73,/images/test-sites/e-commerce/items/cart2.png,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/74,/images/test-sites/e-commerce/items/cart2.png,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",9 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/75,/images/test-sites/e-commerce/items/cart2.png,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",14 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/76,/images/test-sites/e-commerce/items/cart2.png,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4 reviews
Packard 255 G2,/test-sites/e-commerce/allinone/product/31,/images/test-sites/e-commerce/items/cart2.png,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews
Asus EeeBook R...,/test-sites/e-commerce/allinone/product/77,/images/test-sites/e-commerce/items/cart2.png,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/78,/images/test-sites/e-commerce/items/cart2.png,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/79,/images/test-sites/e-commerce/items/cart2.png,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2 reviews
Acer Extensa 1...,/test-sites/e-commerce/allinone/product/80,/images/test-sites/e-commerce/items/cart2.png,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",6 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/81,/images/test-sites/e-commerce/items/cart2.png,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/82,/images/test-sites/e-commerce/items/cart2.png,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2 reviews
Acer Aspire A3...,/test-sites/e-commerce/allinone/product/83,/images/test-sites/e-commerce/items/cart2.png,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",9 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/84,/images/test-sites/e-commerce/items/cart2.png,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",7 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/85,/images/test-sites/e-commerce/items/cart2.png,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",1 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/86,/images/test-sites/e-commerce/items/cart2.png,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",5 reviews
Lenovo V510 Bl...,/test-sites/e-commerce/allinone/product/87,/images/test-sites/e-commerce/items/cart2.png,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",8 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/88,/images/test-sites/e-commerce/items/cart2.png,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",6 reviews
Lenovo V510 Bl...,/test-sites/e-commerce/allinone/product/89,/images/test-sites/e-commerce/items/cart2.png,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",9 reviews
Acer Swift 1 S...,/test-sites/e-commerce/allinone/product/90,/images/test-sites/e-commerce/items/cart2.png,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",4 reviews
Dell Vostro 15,/test-sites/e-commerce/allinone/product/46,/images/test-sites/e-commerce/items/cart2.png,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/91,/images/test-sites/e-commerce/items/cart2.png,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",2 reviews
Dell Vostro 15...,/test-sites/e-commerce/allinone/product/92,/images/test-sites/e-commerce/items/cart2.png,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9 reviews
Lenovo V510 Bl...,/test-sites/e-commerce/allinone/product/93,/images/test-sites/e-commerce/items/cart2.png,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",5 reviews
HP 250 G3,/test-sites/e-commerce/allinone/product/42,/images/test-sites/e-commerce/items/cart2.png,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13 reviews
Acer Spin 5,/test-sites/e-commerce/allinone/product/47,/images/test-sites/e-commerce/items/cart2.png,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews
HP 350 G1,/test-sites/e-commerce/allinone/product/44,/images/test-sites/e-commerce/items/cart2.png,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews
Aspire E1-572G,/test-sites/e-commerce/allinone/product/36,/images/test-sites/e-commerce/items/cart2.png,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 reviews
Pavilion,/test-sites/e-commerce/allinone/product/38,/images/test-sites/e-commerce/items/cart2.png,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews
Acer Aspire A5...,/test-sites/e-commerce/allinone/product/48,/images/test-sites/e-commerce/items/cart2.png,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews
Dell Inspiron...,/test-sites/e-commerce/allinone/product/49,/images/test-sites/e-commerce/items/cart2.png,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/50,/images/test-sites/e-commerce/items/cart2.png,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews
ProBook,/test-sites/e-commerce/allinone/product/34,/images/test-sites/e-commerce/items/cart2.png,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews
Inspiron 15,/test-sites/e-commerce/allinone/product/39,/images/test-sites/e-commerce/items/cart2.png,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12 reviews
Asus ROG STRIX...,/test-sites/e-commerce/allinone/product/51,/images/test-sites/e-commerce/items/cart2.png,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews
Acer Nitro 5 A...,/test-sites/e-commerce/allinone/product/52,/images/test-sites/e-commerce/items/cart2.png,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews
Asus ROG STRIX...,/test-sites/e-commerce/allinone/product/53,/images/test-sites/e-commerce/items/cart2.png,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 reviews
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/54,/images/test-sites/e-commerce/items/cart2.png,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews
ThinkPad Yoga,/test-sites/e-commerce/allinone/product/37,/images/test-sites/e-commerce/items/cart2.png,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/94,/images/test-sites/e-commerce/items/cart2.png,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",14 reviews
Dell Inspiron...,/test-sites/e-commerce/allinone/product/95,/images/test-sites/e-commerce/items/cart2.png,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",7 reviews
MSI GL72M 7RDX,/test-sites/e-commerce/allinone/product/96,/images/test-sites/e-commerce/items/cart2.png,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1 reviews
MSI GL72M 7RDX,/test-sites/e-commerce/allinone/product/97,/images/test-sites/e-commerce/items/cart2.png,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",9 reviews
Asus ROG Strix...,/test-sites/e-commerce/allinone/product/98,/images/test-sites/e-commerce/items/cart2.png,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",4 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/99,/images/test-sites/e-commerce/items/cart2.png,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",8 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/100,/images/test-sites/e-commerce/items/cart2.png,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",4 reviews
Lenovo Legion...,/test-sites/e-commerce/allinone/product/101,/images/test-sites/e-commerce/items/cart2.png,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",1 reviews
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/102,/images/test-sites/e-commerce/items/cart2.png,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",0 reviews
Acer Predator...,/test-sites/e-commerce/allinone/product/103,/images/test-sites/e-commerce/items/cart2.png,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",1 reviews
Acer Aspire 7...,/test-sites/e-commerce/allinone/product/104,/images/test-sites/e-commerce/items/cart2.png,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",4 reviews
Dell Inspiron...,/test-sites/e-commerce/allinone/product/105,/images/test-sites/e-commerce/items/cart2.png,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",10 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/106,/images/test-sites/e-commerce/items/cart2.png,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",14 reviews
Lenovo Legion...,/test-sites/e-commerce/allinone/product/107,/images/test-sites/e-commerce/items/cart2.png,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",13 reviews
Asus AsusPro A...,/test-sites/e-commerce/allinone/product/108,/images/test-sites/e-commerce/items/cart2.png,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",7 reviews
Acer Nitro 5 A...,/test-sites/e-commerce/allinone/product/109,/images/test-sites/e-commerce/items/cart2.png,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",14 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/110,/images/test-sites/e-commerce/items/cart2.png,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
Dell Inspiron...,/test-sites/e-commerce/allinone/product/111,/images/test-sites/e-commerce/items/cart2.png,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",2 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/112,/images/test-sites/e-commerce/items/cart2.png,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",10 reviews
Lenovo Legion...,/test-sites/e-commerce/allinone/product/55,/images/test-sites/e-commerce/items/cart2.png,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews
MSI GP62M 7RDX...,/test-sites/e-commerce/allinone/product/113,/images/test-sites/e-commerce/items/cart2.png,$1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",11 reviews
Lenovo Yoga 72...,/test-sites/e-commerce/allinone/product/114,/images/test-sites/e-commerce/items/cart2.png,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",12 reviews
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/115,/images/test-sites/e-commerce/items/cart2.png,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7 reviews
Acer TravelMat...,/test-sites/e-commerce/allinone/product/116,/images/test-sites/e-commerce/items/cart2.png,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",0 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/117,/images/test-sites/e-commerce/items/cart2.png,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",6 reviews
ThinkPad T540p,/test-sites/e-commerce/allinone/product/33,/images/test-sites/e-commerce/items/cart2.png,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews
MSI GS63 7RD S...,/test-sites/e-commerce/allinone/product/118,/images/test-sites/e-commerce/items/cart2.png,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",2 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/119,/images/test-sites/e-commerce/items/cart2.png,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
Acer Predator...,/test-sites/e-commerce/allinone/product/120,/images/test-sites/e-commerce/items/cart2.png,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",14 reviews
MSI GL62M 7REX,/test-sites/e-commerce/allinone/product/121,/images/test-sites/e-commerce/items/cart2.png,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",7 reviews
MSI GL62M 7REX...,/test-sites/e-commerce/allinone/product/122,/images/test-sites/e-commerce/items/cart2.png,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",12 reviews
Lenovo Yoga 91...,/test-sites/e-commerce/allinone/product/123,/images/test-sites/e-commerce/items/cart2.png,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",7 reviews
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/124,/images/test-sites/e-commerce/items/cart2.png,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",13 reviews
Lenovo IdeaPad...,/test-sites/e-commerce/allinone/product/125,/images/test-sites/e-commerce/items/cart2.png,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",0 reviews
Acer Predator...,/test-sites/e-commerce/allinone/product/126,/images/test-sites/e-commerce/items/cart2.png,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",9 reviews
ThinkPad Yoga,/test-sites/e-commerce/allinone/product/43,/images/test-sites/e-commerce/items/cart2.png,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/127,/images/test-sites/e-commerce/items/cart2.png,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",10 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/128,/images/test-sites/e-commerce/items/cart2.png,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",0 reviews
Asus ZenBook U...,/test-sites/e-commerce/allinone/product/129,/images/test-sites/e-commerce/items/cart2.png,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",14 reviews
ThinkPad X230,/test-sites/e-commerce/allinone/product/41,/images/test-sites/e-commerce/items/cart2.png,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10 reviews
Asus ROG Strix...,/test-sites/e-commerce/allinone/product/130,/images/test-sites/e-commerce/items/cart2.png,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",7 reviews
Apple MacBook...,/test-sites/e-commerce/allinone/product/131,/images/test-sites/e-commerce/items/cart2.png,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",8 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/132,/images/test-sites/e-commerce/items/cart2.png,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",13 reviews
Hewlett Packar...,/test-sites/e-commerce/allinone/product/133,/images/test-sites/e-commerce/items/cart2.png,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",8 reviews
Dell XPS 13,/test-sites/e-commerce/allinone/product/40,/images/test-sites/e-commerce/items/cart2.png,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/134,/images/test-sites/e-commerce/items/cart2.png,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",6 reviews
MSI GL62VR 7RF...,/test-sites/e-commerce/allinone/product/135,/images/test-sites/e-commerce/items/cart2.png,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/136,/images/test-sites/e-commerce/items/cart2.png,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",8 reviews
ThinkPad X240,/test-sites/e-commerce/allinone/product/35,/images/test-sites/e-commerce/items/cart2.png,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12 reviews
Hewlett Packar...,/test-sites/e-commerce/allinone/product/137,/images/test-sites/e-commerce/items/cart2.png,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2 reviews
Apple MacBook...,/test-sites/e-commerce/allinone/product/138,/images/test-sites/e-commerce/items/cart2.png,$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",0 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/139,/images/test-sites/e-commerce/items/cart2.png,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",6 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/140,/images/test-sites/e-commerce/items/cart2.png,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",11 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/141,/images/test-sites/e-commerce/items/cart2.png,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",3 reviews
Apple MacBook...,/test-sites/e-commerce/allinone/product/142,/images/test-sites/e-commerce/items/cart2.png,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",11 reviews
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/143,/images/test-sites/e-commerce/items/cart2.png,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
