,product_name,product_link,product_img,product_price,product_details,product_reviews_number
11,Acer Swift 1 SF113-31 Silver,/test-sites/e-commerce/allinone/product/90,/images/test-sites/e-commerce/items/cart2.png,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",4 reviews
12,Dell Vostro 15 (3568) Red,/test-sites/e-commerce/allinone/product/92,/images/test-sites/e-commerce/items/cart2.png,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9 reviews
13,Acer Spin 5,/test-sites/e-commerce/allinone/product/47,/images/test-sites/e-commerce/items/cart2.png,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews
14,Pavilion,/test-sites/e-commerce/allinone/product/38,/images/test-sites/e-commerce/items/cart2.png,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews
15,Asus VivoBook S14,/test-sites/e-commerce/allinone/product/50,/images/test-sites/e-commerce/items/cart2.png,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews
16,Asus ROG STRIX GL553VD-DM256,/test-sites/e-commerce/allinone/product/51,/images/test-sites/e-commerce/items/cart2.png,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews
17,Lenovo ThinkPad L570,/test-sites/e-commerce/allinone/product/54,/images/test-sites/e-commerce/items/cart2.png,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews
18,Dell Inspiron 15 (7567) Black,/test-sites/e-commerce/allinone/product/95,/images/test-sites/e-commerce/items/cart2.png,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",7 reviews
19,Asus ROG Strix GL553VD-DM535T,/test-sites/e-commerce/allinone/product/98,/images/test-sites/e-commerce/items/cart2.png,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",4 reviews
20,Lenovo Legion Y520-15IKBM,/test-sites/e-commerce/allinone/product/101,/images/test-sites/e-commerce/items/cart2.png,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",1 reviews
21,Acer Aspire 7 A715-71G,/test-sites/e-commerce/allinone/product/104,/images/test-sites/e-commerce/items/cart2.png,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",4 reviews
22,Lenovo Legion Y520,/test-sites/e-commerce/allinone/product/107,/images/test-sites/e-commerce/items/cart2.png,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",13 reviews
23,Dell Latitude 5480,/test-sites/e-commerce/allinone/product/110,/images/test-sites/e-commerce/items/cart2.png,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
24,Lenovo Legion Y520-15IKBM,/test-sites/e-commerce/allinone/product/55,/images/test-sites/e-commerce/items/cart2.png,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews
25,Toshiba Portege Z30-C-16L Grey,/test-sites/e-commerce/allinone/product/115,/images/test-sites/e-commerce/items/cart2.png,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7 reviews
26,ThinkPad T540p,/test-sites/e-commerce/allinone/product/33,/images/test-sites/e-commerce/items/cart2.png,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews
27,Acer Predator Helios 300 (PH317-51),/test-sites/e-commerce/allinone/product/120,/images/test-sites/e-commerce/items/cart2.png,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",14 reviews
28,Lenovo Yoga 910 Grey,/test-sites/e-commerce/allinone/product/123,/images/test-sites/e-commerce/items/cart2.png,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",7 reviews
29,Acer Predator Helios 300 (PH317-51),/test-sites/e-commerce/allinone/product/126,/images/test-sites/e-commerce/items/cart2.png,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",9 reviews
30,Dell Latitude 5480,/test-sites/e-commerce/allinone/product/128,/images/test-sites/e-commerce/items/cart2.png,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",0 reviews
31,Asus ROG Strix GL753VE-GC096T,/test-sites/e-commerce/allinone/product/130,/images/test-sites/e-commerce/items/cart2.png,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",7 reviews
32,Hewlett Packard Spectre 13-v106na Dark Ash Silver,/test-sites/e-commerce/allinone/product/133,/images/test-sites/e-commerce/items/cart2.png,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",8 reviews
33,MSI GL62VR 7RFX,/test-sites/e-commerce/allinone/product/135,/images/test-sites/e-commerce/items/cart2.png,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1 reviews
34,Hewlett Packard ProBook 640 G3,/test-sites/e-commerce/allinone/product/137,/images/test-sites/e-commerce/items/cart2.png,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2 reviews
35,Dell Latitude 5480,/test-sites/e-commerce/allinone/product/140,/images/test-sites/e-commerce/items/cart2.png,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",11 reviews
36,Lenovo ThinkPad T470,/test-sites/e-commerce/allinone/product/143,/images/test-sites/e-commerce/items/cart2.png,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
37,Asus ASUSPRO B9440UA-GV0279R Gray,/test-sites/e-commerce/allinone/product/146,/images/test-sites/e-commerce/items/cart2.png,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",4 reviews
38,Asus ROG Strix GL702ZC-GC154T,/test-sites/e-commerce/allinone/product/57,/images/test-sites/e-commerce/items/cart2.png,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 reviews
