Product Name,Product Image,Product Details,Product Price,Product Rating
Acer Aspire A5...,/images/test-sites/e-commerce/items/cart2.png,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",$679,9 reviews
ProBook,/images/test-sites/e-commerce/items/cart2.png,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",$739.99,8 reviews
Acer Nitro 5 A...,/images/test-sites/e-commerce/items/cart2.png,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",$809,0 reviews
ThinkPad Yoga,/images/test-sites/e-commerce/items/cart2.png,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",$1033.99,13 reviews
MSI GL72M 7RDX,/images/test-sites/e-commerce/items/cart2.png,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",$1099,1 reviews
Dell Latitude...,/images/test-sites/e-commerce/items/cart2.png,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",$1102.66,8 reviews
Toshiba Porteg...,/images/test-sites/e-commerce/items/cart2.png,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",$1114.55,0 reviews
Dell Inspiron...,/images/test-sites/e-commerce/items/cart2.png,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",$1124.2,10 reviews
Asus AsusPro A...,/images/test-sites/e-commerce/items/cart2.png,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",$1139.54,7 reviews
Dell Inspiron...,/images/test-sites/e-commerce/items/cart2.png,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",$1144.2,2 reviews
MSI GP62M 7RDX...,/images/test-sites/e-commerce/items/cart2.png,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",$1149,11 reviews
Acer TravelMat...,/images/test-sites/e-commerce/items/cart2.png,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",$1170.1,0 reviews
MSI GS63 7RD S...,/images/test-sites/e-commerce/items/cart2.png,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",$1179,2 reviews
MSI GL62M 7REX,/images/test-sites/e-commerce/items/cart2.png,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",$1199,7 reviews
Toshiba Porteg...,/images/test-sites/e-commerce/items/cart2.png,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",$1203.41,13 reviews
ThinkPad Yoga,/images/test-sites/e-commerce/items/cart2.png,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",$1223.99,2 reviews
Asus ZenBook U...,/images/test-sites/e-commerce/items/cart2.png,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",$1239.2,14 reviews
Apple MacBook...,/images/test-sites/e-commerce/items/cart2.png,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",$1260.13,8 reviews
Dell XPS 13,/images/test-sites/e-commerce/items/cart2.png,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",$1281.99,4 reviews
Dell Latitude...,/images/test-sites/e-commerce/items/cart2.png,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",$1310.39,8 reviews
Apple MacBook...,/images/test-sites/e-commerce/items/cart2.png,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",$1333,0 reviews
Dell Latitude...,/images/test-sites/e-commerce/items/cart2.png,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",$1341.22,3 reviews
Lenovo ThinkPa...,/images/test-sites/e-commerce/items/cart2.png,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",$1362.24,12 reviews
Lenovo Legion...,/images/test-sites/e-commerce/items/cart2.png,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",$1399,8 reviews
Asus ROG Strix...,/images/test-sites/e-commerce/items/cart2.png,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",$1769,8 reviews
